Id;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;TextMobileBanking;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
6;af250f00e5ec13095ad081bf79cceeaa8177b713;Od 16 do 25;Muško;Student/ica;Grad Zagreb;Raiffeisen;Pristupaènost;Dva do èetiri puta tjedno;"Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Veæa sigurnost; Besplatne transakcije";2;3;4;5
8;87ce42603d7b13912b65bdd106588a90be920ba1;Od 15 do 25;Muško;Student/ica;Zagrebaèka županija;Raiffeisen;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;Provjera stanja na raèunu;;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost";1;1;1;1
10;63f81a6df2dd6c5306c097af7692f25ff3ec1050;Od 15 do 25;Muško;Student/ica;Grad Zagreb;ERSTE;Preporuka prijatelja ili rodbine;Ne koristim bankomat;"Debitna ili kreditna kartica; Štednja";;Jednostavnija i jasnija usluga;2;3;3;5
11;fbdfcda12036e1d05fbe130afeabfe3fd60e7c5e;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;ERSTE;Pristupaènost;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Besplatne transakcije";2;4;4;5
12;fd61778e352e5acf35cd24cf8a74f62f2bccb9ee;Od 19 do 25;Žensko;Student/ica;Meðimurska županija;PBZ;Preporuka prijatelja ili rodbine;Jednom tjedno;Debitna ili kreditna kartica;;Jednostavnija i jasnija usluga;3;3;3;6
15;4e39318dceaffb05e98c34ae06e1226d173593b7;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";automatsko informiranje o promjeni stanja na raèunu.;Besplatne transakcije;5;4;5;7
16;90321b3a6068a5f8c53a3550f499460a31a8c2a4;Manje od 15;Žensko;Nezaposlen/a;Splitsko-dalmatinska županija;Nemam raèun;;Ne koristim bankomat;Ses usluge;Lakse placanje ses usluga;Jednostavnija i jasnija usluga;6;5;5;8
17;e9acdb91ab26a2b8d5c2c87fe1b14fee436315a6;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Nagrade (smanjene cijene za odreðene usluge);5;3;4;6
18;3fc24e68db2683fe5fc7cf56ab259f78b8e2923c;Od 19 do 25;Žensko;Zaposlen/a;Krapinsko-zagorska ;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Besplatne transakcije;3;;;4
22;1c85e9a738cf3831ea4acc6407f9d94bbed957ab;Od 19 do 25;Žensko;Student/ica + zaposlen/a;Zagrebaèka županija;"PBZ; ERSTE";Pristupaènost;Više od èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";;Nagrade (smanjene cijene za odreðene usluge);5;2;3;1
26;5b7adca832b5b6ea9be2c2eabe3ca382251fcad3;Od 19 do 25;Žensko;Student/ica;Meðimurska županija;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";x;Sve je savršeno, ne bih ništa promijenio/la;2;1;3;6
33;d2d5abf45ae9b3a2b9ae4808a93044982d8cf4ff;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;"PBZ; ERSTE; Raiffeisen";Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Osiguranje";;Nagrade (smanjene cijene za odreðene usluge);4;3;3;5
35;9822760efa7575f8146d7759eb985773870cf1fb;Od 19 do 25;Muško;Student/ica;Zagrebaèka županija;Nemam raèun;;Ne koristim bankomat;Ne koristim bankarske usluge;;"Jednostavnija i jasnija usluga; Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";3;4;;5
37;32443234624a80be08e8d8a88501895fd0d405b8;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve)";;Besplatne transakcije;4;3;4;5
42;bac2ddcf02d19faf2915c0c0c2fc10e60376508a;Od 19 do 25;Muško;Student/ica;Grad Zagreb;"Splitska; PBZ; ERSTE";Najbolji uvjeti i pogodnosti;Ne koristim bankomat;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Kontaktiranje Vašeg savjetnika u banci; Štednja; Provjera stanja na raèunu; Plaæanje raèuna; Investiranje";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";4;3;3;6
45;8bc1ce64e9ef09e8727db65aaafbc9b7ae7df331;Od 19 do 25;Žensko;Nezaposlen/a;Meðimurska županija;Hypo Alpe Adria;Preporuka prijatelja ili rodbine;Ne koristim bankomat;Ne koristim bankarske usluge;;Besplatne transakcije;1;;2;3
46;b38b62ea8b674c0a7a9ff87ba81e25d702f884ce;Od 19 do 25;Muško;Student/ica + zaposlen/a;Grad Zagreb;PBZ;Pristupaènost;Dva do èetiri puta tjedno;"Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;Sve je savršeno, ne bih ništa promijenio/la;5;4;4;5
50;091c581366447222ff3ad1dc891f5a73bc3f2fda;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom u dva tjedna;Studentski paket (uljuèuje sve);;Bolja uputstva za postavljanje Internet usluga;1;3;2;4
51;b50807e30aaa68aaf1bc9b7e253a49ff7f63d8e1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Hpb;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Štednja; Provjera stanja na raèunu";Nista;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;4;4;5
55;acdcaa865dbc546d6f307c9ffe08fca3c5c979b4;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;PBZ;Pristupaènost;Jednom u dva tjedna;"Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Besplatne transakcije";3;2;2;5
56;ab91976bae8de5c023f1df2e30d8285f3f470e49;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;Plaæanje raèuna;-;Bolja uputstva za postavljanje Internet usluga;3;2;2;4
57;226b5eb0f7c914587e8e17e4ae5e989c970143fa;Više od 25;Muško;Zaposlen/a;Grad Zagreb;Raiffeisen;Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu; Plaæanje raèuna; Kredit";;Besplatne transakcije;5;4;4;4
58;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom tjedno;"Internet bankarstvo; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;1;3;5
59;adead00a096ed15b0a653c95b070cd61fe875fa0;Od 19 do 25;Muško;Student/ica + zaposlen/a;Grad Zagreb;Splitska;Pristupaènost;Jednom u dva tjedna;Ne koristim bankarske usluge;;Veæa sigurnost;0;3;1;3
